instanceID, capacity, shortageCost, simulatedSolutionValue, N_LD_initial, N_LD_final, N_LD_max, N_start, N_last, N_attempts, phase0StopReason, N_phase1, Mfinal, relGap1, relGap2, phase1StopReason, solutionTimeMs,instance,n_items,coeff_of_var
4e874db838b2b1503b77b779ed2431389631bd1a3ad8c9703712b7acb89c7892,116.10846413274392,10.0,356.5640570747102,3890013,0,3890013,64,128,2, SUCCESS_SIGMA2ZERO,128,140,9.473143593966936e-05,1.4800347526956886e-05, CERTIFIED,104000,P05_UNCORRELATED,25,0.1
507414eb2416c2d5891927f3b1073c69004cfd02c4c37ef0003df6db2b6e5381,260.2867799458042,10.0,506.3849920002812,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,43,5.865812174829613e-05,5.248917695502995e-16, CERTIFIED,32000,P05_UNCORRELATED,25,0.1
f852fb9b5ae27285e39cdcd00095f0018b103784dd216e5205cb955ed0014cd8,330.7185220868661,10.0,574.396308912942,8211112,0,8948524,64,512,4, SUCCESS_SIGMA2ZERO,512,60,2.5912299311505304e-05,6.337978161049524e-05, CERTIFIED,72000,P05_UNCORRELATED,25,0.1
dc21753c31e542107e4444c0be1ea4ae7092063f5056aeeb3d46eb8ce3141b03,508.0002450797488,10.0,810.4541819852045,7820298,0,7820298,64,256,3, SUCCESS_SIGMA2ZERO,256,38,3.4488316473408324e-05,-2.7324415387767493e-15, CERTIFIED,65000,P05_UNCORRELATED,25,0.1
a84243543635e17a497faa3b1a4980f36a541fca7ef8496aa827a29095cfc491,507.9358508990788,10.0,910.794998859897,5140709,0,5140709,64,128,2, SUCCESS_SIGMA2ZERO,128,177,9.73921013536558e-05,1.9114091173966653e-15, CERTIFIED,219000,P05_UNCORRELATED,25,0.1
e552d659d73c3f587900c92382d4b5ba81978c2a70964d078b790829413c75b0,677.2632613258763,10.0,1023.4854001415196,906711,0,2934733,64,1024,5, SUCCESS_SIGMA2ZERO,1024,34,8.952541637491829e-05,-5.9369914380059316e-15, CERTIFIED,108000,P05_UNCORRELATED,25,0.1
a386fe46da9e63567778d86d13ea5ee7d52ed4ce3e2576d597f038fef4c20e95,858.9901041571254,10.0,1197.1844905204484,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,106,7.26765051198293e-05,-1.5120175754522658e-16, CERTIFIED,161000,P05_UNCORRELATED,25,0.1
a277142647130d1c9c19615cd4082580218587d432e5560fe46d1c00e2d51bba,997.9619811631276,10.0,1328.3335590557965,0,0,0,64,64,1, SUCCESS_SIGMA2ZERO,64,72,7.62846174969359e-05,2.424905562354647e-16, CERTIFIED,123000,P05_UNCORRELATED,25,0.1
9a6bc20a13766bc1a72d503e4797338615e4cf3f57304dfb0cc989c923a519f6,1064.6533536483,10.0,1257.8239559726492,6754370,0,11324987,64,512,4, SUCCESS_SIGMA2ZERO,512,168,7.582271932058985e-05,3.737828153335264e-05, CERTIFIED,259000,P05_UNCORRELATED,25,0.1
74efa1cd9dd8efb4d094bdb9d123d2ca7e54938e7bb4b5db69231f3ffaa73daa,1133.3468785043312,10.0,1192.8336890413857,2134975,0,12183582,64,8192,8, SUCCESS_SIGMA2ZERO,8192,34,1.130188804788143e-07,5.1046380477284327e-14, CERTIFIED,203000,P05_UNCORRELATED,25,0.1
